6,les vacances (f.) (pl.),der Urlaub; die Ferien
6,le TGV (train à grande vitesse),der TGV (französischer Hochgeschwindigkeitszug)
6,triste/triste,traurig
6,nul/nulle,blöd
6,grand/grande,groß
6,une gare,ein Bahnhof
6,la gare d'Austerlitz,"Pariser Bahnhof, der die Hauptstadt mit den Städten im Südwesten"
6,une grève,ein Streik
6,attendre qn/qc,auf jemanden/etwas warten; jemanden/etwas erwarten
6,téléphoner à qn,mit jemandem telefonieren; jemanden anrufen
6,Poitiers,"Stadt in Westfrankreich, nördlich von Limoges"
6,entendre qn/qc,jemanden/etwas hören
6,perdre qc,etw. verlieren
6,un voyage,eine Reise
6,long/longue,lang
6,une tête,ein Kopf
6,faire la tête (fam.),schmollen (ugs.)
6,répondre à qn/qc,jemandem/auf etwas antworten
6,rouge/rouge,rot
6,vert/verte,grün
6,bleu/bleue,blau
6,avoir envie de faire pipi (fam.),Pipi machen müssen (ugs.)
6,une pause,eine Pause
6,descendre,hinuntergehen; aussteigen
6,tout à coup,plötzlich
6,un loup,ein Wolf
6,Les loups de Chabrières,"Tierpark in der Nähe von Limoges, in dem Wölfe gehalten werden"
6,joli/jolie,hübsch
6,une faim de loup (fam.),ein Bärenhunger (ugs.)
6,un plat,ein Gericht; ein Gang (beim Essen)
6,une couleur,eine Farbe
6,blanc/blanche,weiß
6,noir/noire,schwarz
6,gris/grise,grau
6,jaune/jaune,gelb
6,un poème,ein Gedicht
6,un boulevard,ein Boulevard
6,Boulevard Louis Blanc,große Straße in Limoges
6,dire qc à qn,jemandem etwas sagen
6,la porcelaine,das Porzellan
6,surtout,vor allem
6,Saint-Aurélien,der heilige Aurelius (Name eines Heiligen und einer ihm geweihten
6,la place Saint-Pierre,Name eines Platzes in Limoges
6,un bal,ein Ball; ein Fest
6,rester,bleiben
6,danser,tanzen
6,donner qc à qn,jemandem etwas geben
6,parler à qn,mit jemandem sprechen
6,une casquette,eine Kappe; eine Schirmmütze
6,demander (qc) à qn,jemanden (nach etwas) fragen; jemanden (um etwas) bitten; etw.
6,entre,zwischen
6,montrer qc à qn,jemandem etwas zeigen
